Timestamp,Page Number,CarID,UniqueURL,CarName,CarPrice,CarMileage,BuildMonth,BuildYear,Power,Usage,Transmission,Fuel
2021-06-29 12:51:33.656108,1,0,/nl/aanbod/volkswagen-golf-1-0-tsi-bmt-join-r-line-gps-camera-garantie-1-an-benzine-grijs-8a2261e3-67d5-4bf5-9945-53c1c5ff8608,Volkswagen Golf,€ 17490,39638 ,10,2018,81 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.685031,1,1,/nl/aanbod/mercedes-benz-clk-230-kompressor-1ste-eigenaar-1j-garantie-benzine-blauw-51e429cc-470b-4677-9c14-497a30e18a6c,Mercedes-Benz CLK 230,€ 4990,97000 ,02,1999,142 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.714949,1,2,/nl/aanbod/toyota-yaris-1-33i-vvt-i-style-benzine-wit-ded3158a-c51c-46f2-8ada-86903c05d663,Toyota Yaris,€ 6000,110000 ,06,2014,73 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.744870,1,3,/nl/aanbod/hyundai-santa-fe-benzine-zwart-f05d85fc-7f7a-4f93-967f-39085ab0d0c5,Hyundai Santa Fe,€ 2450,187000 ,01,2005,107 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.774789,1,4,/nl/aanbod/toyota-corolla-verso-1-8i-vvt-i-16v-linea-luna-7pl-benzine-grijs-ff5392f4-18e3-4057-b272-68c56b71e3bd,Toyota Corolla Verso,€ 3100,130000 ,06,2005,95 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.805711,1,5,/nl/aanbod/fiat-tipo-1-0-t-firefly-city-life-camera-pdc-navi-alu-benzine-zwart-edf7cd5c-a838-4552-a4bc-c745a8c9cdc7,Fiat Tipo,€ 15999,2,06,2021,74 ,Voorinschrijving,Manueel,Benzine
2021-06-29 12:51:33.835628,1,6,/nl/aanbod/renault-kadjar-1-5-dci-bose-edition-diesel-zwart-cb53e6c5-395c-7603-e053-0100007f24eb,Renault Kadjar,€ 12950,97402 ,07,2016,81 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:33.865546,1,7,/nl/aanbod/fiat-500-0-9-t-twinair-lounge-leder-led-netto-9-082-euro-benzine-wit-6f2bf6b0-5383-40fa-a549-49d45dc42081,Fiat 500,€ 10990,27029 ,07,2016,62 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.895467,1,8,/nl/aanbod/opel-corsa-1-2i-enjoy-1ste-eigenaar-1j-garantie-benzine-blauw-0969cee0-5e40-4521-8723-73a7dee8a307,Opel Corsa,€ 5600,84000 ,10,2013,63 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:33.925387,1,9,/nl/aanbod/volkswagen-touran-2-0-cr-tdi-highline-diesel-blauw-ec4ce6c5-91e3-257f-e053-0100007fe110,Volkswagen Touran,€ 3200,195000 ,09,2010,103 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:33.956308,1,10,/nl/aanbod/citroen-c4-picasso-1-6-bluehdi-euro6-exclusive-12m-garantie-diesel-zwart-924aff7c-3888-4303-9d5a-6726e176286f,Citroen C4 Picasso,€ 9999,143000 ,01,2016,85 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:33.984229,1,11,/nl/aanbod/bmw-520-5-touring-diesel-2017-diesel-blauw-0313d92b-c61a-47b0-bcf2-2b5c74391bc3,BMW 520,€ 21950,178000 ,06,2017,140 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:34.015150,1,12,/nl/aanbod/volkswagen-golf-1-6-cr-tdi-bmt-highline-dsg-diesel-zwart-52e7d7d1-c6a1-4d81-bdb6-9ad89486843f,Volkswagen Golf,€ 17500,135000 ,06,2017,85 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:34.044070,1,13,/nl/aanbod/peugeot-407-2-7-hdi-v6-pack-sport-toe-clim-cuir-gps-xenon-full-diesel-zwart-6bd0539d-b833-4724-ac7d-e7aafecd6fe0,Peugeot 407,€ 10900,145000 ,05,2008,150 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:34.075984,1,14,/nl/aanbod/mercedes-benz-cla-180-d-berline-7g-tronic-s-sport-cruise-cam-euro6-diesel-grijs-2af3e857-d339-4901-9a9f-a7af19612fbd,Mercedes-Benz CLA 180,€ 18990,70000 ,11,2016,80 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:34.105904,1,15,/nl/aanbod/citroen-c3-1-2-puretech-exclusive-s-benzine-oranje-ec4ce6c5-90e3-257f-e053-0100007fe110,Citroen C3,€ 4500,38786 ,08,2017,81 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:34.135824,1,16,/nl/aanbod/mini-one-d-1-6-dpf-diesel-zwart-ba448629-373e-4f78-9dd8-9978df56b017,MINI One D,€ 6999,135000 ,12,2011,66 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:34.165744,1,17,/nl/aanbod/renault-trafic-passenger-9pers-navi-cruise-pdc-garantie-diesel-zilver-0e1207f4-57e9-420d-9895-66d925d74614,Renault Trafic,€ 10750,92000 ,01,2013,84 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:34.195664,1,18,/nl/aanbod/volkswagen-touran-2-0-tdi-scr-highline-dsg-diesel-blauw-0298057f-536c-475d-a55b-3769f7913f80,Volkswagen Touran,€ 14700,125000 ,06,2016,110 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:34.226585,1,19,/nl/aanbod/renault-laguna-1-9-dci-dynamique-luxe-diesel-zwart-37d2c33c-4984-4a88-add5-0adad8565c85,Renault Laguna,€ 1750,202000 ,10,2005,81 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:35.625174,2,0,/nl/aanbod/mercedes-benz-190-benzine-beige-a5abe23d-246d-4c20-8684-cd9eb33ca2b6,Mercedes-Benz 190,€ 2750,167000 ,02,1986,90 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:35.654070,2,1,/nl/aanbod/peugeot-508-1-6-hdi-access-diesel-zwart-4f3be6c5-beaa-d678-e053-0100007f86b9,Peugeot 508,€ 5750,199000 ,09,2011,82 ,Tweedehands,Manueel,Diesel
2021-06-29 12:51:35.682994,2,2,/nl/aanbod/hyundai-tucson-2-0-crdi-4wd-automatik-style-diesel-grijs-f1cae51f-22bb-4e6d-b8b7-a9cd1aa1d29e,Hyundai Tucson,€ 13900,148000 ,06,2016,100 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:35.711915,2,3,/nl/aanbod/peugeot-308-peugeot-308-diesel-wit-b53ae6c5-54ff-d878-e053-0100007fb384,Peugeot 308,€ 3600,141678 ,05,2016,113 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:51:35.741837,2,4,/nl/aanbod/citroen-c3-1-1-confort-benzine-rood-d9192a65-7519-41d2-afbc-c80245259d18,Citroen C3,€ 2800,81000 ,07,2008,44 ,Tweedehands,Manueel,Benzine
2021-06-29 12:51:35.771756,2,5,/nl/aanbod/bmw-225-2-active-tourer-plug-in-hybrid-big-navy-luxury-elektrisch-benzine-grijs-b824fe82-3df4-462f-a0e7-61f99c476951,BMW 225,€ 17500,102000 ,07,2017,100 ,Tweedehands,Automatisch,Elektrisch/Benzine
